ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
00020.HK,20221230,2.25,2.25,2.18,2.22,2.18,0.04,1.83,91203225.0,202109775.81
00700.HK,20221230,339.0,343.8,331.4,334.0,335.2,-1.2,-0.36,27211337.0,9169263906.93
00992.HK,20221230,6.5,6.5,6.38,6.41,6.39,0.02,0.31,14139750.0,91076908.11
01024.HK,20221230,72.5,73.3,70.45,71.05,70.65,0.4,0.57,19282425.0,1381517036.65
01810.HK,20221230,11.04,11.08,10.9,10.94,10.86,0.08,0.74,41295012.0,453429677.14
03690.HK,20221230,188.4,188.5,174.7,174.7,183.8,-9.1,-4.95,31271880.0,5576976568.38
09618.HK,20221230,224.0,225.2,218.4,220.2,218.0,2.2,1.01,4082108.0,903405710.1
09626.HK,20221230,189.6,193.8,186.0,186.8,182.0,4.8,2.64,1862656.0,352611236.2
09888.HK,20221230,113.3,113.7,111.1,111.7,110.0,1.7,1.55,3188288.0,358057666.0
09961.HK,20221230,273.4,275.0,267.4,273.6,267.6,6.0,2.24,1065652.0,290696008.45
09988.HK,20221230,87.3,88.3,85.7,86.25,85.55,0.7,0.82,35928445.0,3112837964.25
00020.HK,20221229,2.23,2.29,2.17,2.18,2.29,-0.11,-4.8,97706542.0,216453919.59
00700.HK,20221229,323.0,336.0,323.0,335.2,326.2,9.0,2.76,30087456.0,9991287673.82
00992.HK,20221229,6.43,6.57,6.36,6.39,6.6,-0.21,-3.18,22958384.0,147395279.05
01024.HK,20221229,71.75,72.25,70.1,70.65,73.1,-2.45,-3.35,24517831.0,1736030253.5
01810.HK,20221229,10.96,11.1,10.72,10.86,11.22,-0.36,-3.21,70917775.0,769939691.94
03690.HK,20221229,180.8,185.0,179.9,183.8,184.2,-0.4,-0.22,17062318.0,3120787446.04
09618.HK,20221229,218.8,220.4,214.4,218.0,230.4,-12.4,-5.38,9216806.0,2008299174.85
09626.HK,20221229,178.3,184.9,178.0,182.0,191.4,-9.4,-4.91,3185066.0,577709109.04
09888.HK,20221229,109.4,110.7,107.6,110.0,113.2,-3.2,-2.83,5702816.0,623795012.65
09961.HK,20221229,273.0,277.8,263.0,267.6,285.0,-17.4,-6.11,1740980.0,465968598.65
